Entity,Year,Cost of a healthy diet,gdp,population,Region,bmi,row_added,imputed_from,values_imputed
Afghanistan,2017,3.1759999999999997,9651.481640000002,85026761,Asia,16.999643999999996,True,"Cost of a healthy diet:NEI[Uzbekistan,Pakistan,Tajikistan,Iran,China]|gdp:NEI[Uzbekistan,Pakistan,Tajikistan,Iran,China]|population:NEI[Uzbekistan,Pakistan,Tajikistan,Iran,China]|bmi:NEI[Uzbekistan,Pakistan,Tajikistan,Iran,China]",True
Afghanistan,2018,3.18,9906.601180000001,86117999,Asia,17.759284,True,"Cost of a healthy diet:NEI[Uzbekistan,Pakistan,Tajikistan,Iran,China]|gdp:NEI[Uzbekistan,Pakistan,Tajikistan,Iran,China]|population:NEI[Uzbekistan,Pakistan,Tajikistan,Iran,China]|bmi:NEI[Uzbekistan,Pakistan,Tajikistan,Iran,China]",True
Afghanistan,2019,3.2939999999999996,10112.42836,87051649,Asia,18.531742,True,"Cost of a healthy diet:NEI[Uzbekistan,Pakistan,Tajikistan,Iran,China]|gdp:NEI[Uzbekistan,Pakistan,Tajikistan,Iran,China]|population:NEI[Uzbekistan,Pakistan,Tajikistan,Iran,China]|bmi:NEI[Uzbekistan,Pakistan,Tajikistan,Iran,China]",True
Afghanistan,2020,3.396,10239.89632,87723448,Asia,19.317522000000004,True,"Cost of a healthy diet:NEI[Uzbekistan,Pakistan,Tajikistan,Iran,China]|gdp:NEI[Uzbekistan,Pakistan,Tajikistan,Iran,China]|population:NEI[Uzbekistan,Pakistan,Tajikistan,Iran,China]|bmi:NEI[Uzbekistan,Pakistan,Tajikistan,Iran,China]",True
Afghanistan,2021,3.4779999999999993,10879.2044,88455490,Asia,20.116224,True,"Cost of a healthy diet:NEI[Uzbekistan,Pakistan,Tajikistan,Iran,China]|gdp:NEI[Uzbekistan,Pakistan,Tajikistan,Iran,China]|population:NEI[Uzbekistan,Pakistan,Tajikistan,Iran,China]|bmi:NEI[Uzbekistan,Pakistan,Tajikistan,Iran,China]",True
Afghanistan,2022,3.88,11235.66272,89524247,Asia,20.929682,True,"Cost of a healthy diet:NEI[Uzbekistan,Pakistan,Tajikistan,Iran,China]|gdp:NEI[Uzbekistan,Pakistan,Tajikistan,Iran,China]|population:NEI[Uzbekistan,Pakistan,Tajikistan,Iran,China]|bmi:NEI[Uzbekistan,Pakistan,Tajikistan,Iran,China]",True
Afghanistan,2023,4.106,11703.65914,90608708,Asia,20.929682,True,"Cost of a healthy diet:NEI[Uzbekistan,Pakistan,Tajikistan,Iran,China]|gdp:NEI[Uzbekistan,Pakistan,Tajikistan,Iran,China]|population:NEI[Uzbekistan,Pakistan,Tajikistan,Iran,China]|bmi:GLB",True
Albania,2017,3.04,14155.04,2898245,Europe,22.50938,False,,False
Albania,2018,3.13,14710.982,2894229,Europe,23.27709,False,,False
Albania,2019,3.32,15078.507,2885011,Europe,24.06825,False,,False
Albania,2020,3.4,14662.796,2871950,Europe,24.87768,False,,False
Albania,2021,3.49,16126.777,2849641,Europe,25.72502,False,,False
Albania,2022,4.14,17111.953,2827614,Europe,26.58335,False,,False
Albania,2023,4.58,17991.016,2811660,Europe,26.58335,False,bmi:GLB,True
Algeria,2017,4.09,15427.664,41689302,Africa,20.98617,False,,False
Algeria,2018,4.16,15343.426,42505033,Africa,21.64547,False,,False
Algeria,2019,4.18,15199.199,43294551,Africa,22.30026,False,,False
Algeria,2020,4.2,14194.155,44042094,Africa,22.95371,False,,False
Algeria,2021,4.47,14496.865,44761099,Africa,23.60328,False,,False
Algeria,2022,5.01,14782.2,45477391,Africa,24.24859,False,,False
Algeria,2023,5.41,15159.324,46164222,Africa,24.24859,False,bmi:GLB,True
Angola,2017,3.18,9042.117,30234836,Africa,8.92534,False,,False
Angola,2018,3.27,8620.215,31297160,Africa,9.21939,False,,False
Angola,2019,3.43,8274.543,32375633,Africa,9.52763,False,,False
Angola,2020,3.7,7556.968,33451139,Africa,9.85061,False,,False
Angola,2021,4.11,7408.1265,34532427,Africa,10.18675,False,,False
Angola,2022,4.55,7397.4863,35635028,Africa,10.53502,False,,False
Angola,2023,4.72,7250.403,36749909,Africa,10.53502,False,bmi:GLB,True
Antigua and Barbuda,2017,3.77,27199.195,90483,America,30.55123,False,,False
Antigua and Barbuda,2018,4.24,28878.607,90942,America,31.23646,False,,False
Antigua and Barbuda,2019,4.38,29651.863,91377,America,31.93299,False,,False
Antigua and Barbuda,2020,4.67,23930.672,91864,America,32.63795,False,,False
Antigua and Barbuda,2021,4.92,25745.496,92358,America,33.34641,False,,False
Antigua and Barbuda,2022,5.46,27941.785,92850,America,34.06155,False,,False
Antigua and Barbuda,2023,5.8,28474.045,93331,America,34.06155,False,bmi:GLB,True
Argentina,2017,3.26,28334.904,44288898,America,30.93398,False,,False
Argentina,2018,3.404,20333.6797,44288898,America,28.70878,True,"Cost of a healthy diet:NEI[Chile,Uruguay,Brazil,Bolivia,Paraguay]|gdp:NEI[Chile,Uruguay,Brazil,Bolivia,Paraguay]|bmi:NEI[Chile,Uruguay,Brazil,Bolivia,Paraguay]",True
