Entity,Year,Cost of a healthy diet,gdp,population,Region,bmi
Albania,2017,3.04,14155.04,2898245,Europe,22.50938
Albania,2018,3.13,14710.982,2894229,Europe,23.27709
Albania,2019,3.32,15078.507,2885011,Europe,24.06825
Albania,2020,3.4,14662.796,2871950,Europe,24.87768
Albania,2021,3.49,16126.777,2849641,Europe,25.72502
Albania,2022,4.14,17111.953,2827614,Europe,26.58335
Albania,2023,4.58,17991.016,2811660,Europe,
Algeria,2017,4.09,15427.664,41689302,Europe,20.98617
Algeria,2018,4.16,15343.426,42505033,Africa,21.64547
Algeria,2019,4.18,15199.199,43294551,Africa,22.30026
Algeria,2020,4.2,14194.155,44042094,Africa,22.95371
Algeria,2021,4.47,14496.865,44761099,Africa,23.60328
Algeria,2022,5.01,14782.2,45477391,Africa,24.24859
Algeria,2023,5.41,15159.324,46164222,Africa,
Angola,2017,3.18,9042.117,30234836,Africa,8.92534
Angola,2018,3.27,8620.215,31297160,Africa,9.21939
Angola,2019,3.43,8274.543,32375633,Africa,9.52763
Angola,2020,3.7,7556.968,33451139,Africa,9.85061
Angola,2021,4.11,7408.1265,34532427,Africa,10.18675
Angola,2022,4.55,7397.4863,35635028,Africa,10.53502
Angola,2023,4.72,7250.403,36749909,Africa,
Antigua and Barbuda,2017,3.77,27199.195,90483,Africa,30.55123
Antigua and Barbuda,2018,4.24,28878.607,90942,Africa,31.23646
Antigua and Barbuda,2019,4.38,29651.863,91377,Africa,31.93299
Antigua and Barbuda,2020,4.67,23930.672,91864,Caribbean,32.63795
Antigua and Barbuda,2021,4.92,25745.496,92358,Caribbean,33.34641
Antigua and Barbuda,2022,5.46,27941.785,92850,Caribbean,34.06155
Antigua and Barbuda,2023,5.8,28474.045,93331,Caribbean,
Argentina,2017,3.26,28334.904,44288898,Caribbean,30.93398
Armenia,2017,3.22,14243.875,2914966,Caribbean,24.40158
Armenia,2018,3.31,15037.045,2909971,Caribbean,25.09498
Armenia,2019,3.44,16215.36,2903975,Caribbean,25.8029
Armenia,2020,3.54,15052.936,2890893,South America,26.49705
Armenia,2021,3.8,15921.705,2870339,Asia,27.17718
Armenia,2022,4.27,17886.178,2880880,Asia,27.86621
Armenia,2023,4.33,19402.752,2943398,Asia,
Aruba,2017,3.38,38558.004,105737,Asia,
Aruba,2018,3.55,39419.555,106447,Asia,
Aruba,2019,3.79,38435.426,107089,Asia,
Aruba,2020,3.9,28521.69,107411,Asia,
Aruba,2021,4.0,35696.31,107565,Asia,
Aruba,2022,4.5,38877.676,107792,Caribbean,
Aruba,2023,4.82,40516.81,107946,Caribbean,
Australia,2017,2.33,56684.65,24731044,Caribbean,29.14901
Australia,2018,2.36,57450.383,25119700,Caribbean,29.64319
Australia,2019,2.4,57837.062,25482714,Caribbean,30.14886
Australia,2020,2.51,57059.742,25743787,Caribbean,30.68957
Australia,2021,2.61,58182.336,25956417,Caribbean,31.25505
Australia,2022,2.88,59883.65,26200987,Oceania,31.82415
Australia,2023,3.1,60461.156,26451126,Oceania,
Austria,2017,2.06,62612.14,8798779,Oceania,16.0986
Austria,2018,2.11,63855.78,8841653,Oceania,16.26565
Austria,2019,2.19,64688.145,8880876,Oceania,16.43674
Austria,2020,2.31,60349.902,8921402,Oceania,16.62115
Austria,2021,2.42,62968.94,8967053,Oceania,16.82485
Austria,2022,2.75,65661.45,9064678,Oceania,17.04036
Austria,2023,2.91,64394.09,9130434,Europe,
Azerbaijan,2017,2.9,19659.004,9968510,Europe,23.59459
Azerbaijan,2018,2.95,19781.852,10039782,Europe,24.36877
Azerbaijan,2019,3.1,20101.492,10110483,Europe,25.1584
Azerbaijan,2020,3.28,19126.098,10181736,Europe,25.93212
Azerbaijan,2021,3.45,20111.375,10234372,Europe,26.69587
Azerbaijan,2022,3.92,21051.244,10295307,Europe,27.50411
Azerbaijan,2023,4.13,21310.738,10318209,Europe,
Bahamas,2017,4.2,33049.87,390496,Asia,44.00649
Bahamas,2018,4.23,33650.24,392718,Asia,44.72953
Bahamas,2019,4.12,33202.355,394684,Asia,45.44717
Bahamas,2020,4.19,26452.525,395874,Asia,46.16628
Bahamas,2021,4.28,31064.682,396381,Asia,46.89243
Bahamas,2022,4.97,34342.79,397542,Asia,47.61047
Bahamas,2023,5.25,35221.31,399452,Asia,
Bahrain,2017,3.04,53859.773,1482003,Asia,33.70923
Bahrain,2018,3.19,54893.074,1497634,North America,34.24779
Bahrain,2019,3.3,56749.96,1485675,North America,34.87986
Bahrain,2020,3.42,53814.246,1483081,North America,35.67412
Bahrain,2021,3.25,54954.676,1501762,North America,36.5512
Bahrain,2022,3.74,57572.996,1533460,North America,37.18739
Bahrain,2023,4.12,57819.906,1569674,North America,
Bangladesh,2017,3.09,6005.707,162186146,North America,3.69806
Bangladesh,2018,3.26,6392.5933,163523109,North America,3.98976
Bangladesh,2019,3.41,6838.326,164913060,Asia,4.29426
Bangladesh,2020,3.61,7015.1978,166298024,Asia,4.61226
Bangladesh,2021,3.83,7441.0693,167658855,Asia,4.94368
Bangladesh,2022,4.13,7888.164,169384891,Asia,5.29035
Bangladesh,2023,4.33,8242.398,171466986,Asia,
Belarus,2017,3.13,25503.98,9495793,Asia,25.4647
Belarus,2018,3.13,26363.463,9480031,Asia,25.71212
Belarus,2019,3.19,26798.82,9435415,Asia,25.94651
Belarus,2020,3.22,26731.496,9350943,Asia,26.15491
Belarus,2021,3.3,27611.18,9251368,Asia,26.34413
Belarus,2022,3.6,26537.508,9173240,Asia,26.55127
Belarus,2023,3.72,27782.438,9115679,Asia,
Belgium,2017,2.0,58555.152,11376583,Asia,20.70753
Belgium,2018,2.07,59383.88,11428608,Asia,20.94379
Belgium,2019,2.16,60506.66,11490623,Asia,21.18782
Belgium,2020,2.28,57358.836,11540102,Asia,21.44325
Belgium,2021,2.26,60669.215,11570843,Europe,21.71175
Belgium,2022,2.49,62744.203,11641814,Europe,22.00038
Belgium,2023,2.77,62920.645,11712891,Europe,
Belize,2017,2.56,11574.452,373215,Europe,37.97209
